lat,lon,region,rooms,area,building_type
55.0314199,83.0218286,9654,1,51.0,1
53.3505987,83.6650231,6817,2,48.3,3
54.94594,82.97192,9654,3,85.83,1
55.042053,82.940926,9654,2,44.6,1
55.017756,83.003578,9654,1,39.35,1
54.9471407,82.9585961,9654,1,48.94,1
53.3646728,83.6717774,6817,3,79.5,2
56.6599953,124.7202403,11171,1,38.0,1
55.1132166,82.9430018,9654,1,34.8,1
55.1209706,82.9015864,9654,1,24.1,3
55.0303931,83.0155452,9654,3,87.39,1
55.0135228,83.0027967,9654,1,48.02,1
54.9471407,82.9585961,9654,2,58.75,1
54.946236,82.97248,9654,3,86.0,1
54.9652381,82.9628527,9654,2,71.0,3
54.944528,82.973987,9654,1,39.02,1
54.944957,82.96274,9654,1,39.0,1
54.9436459,82.9649398,9654,2,63.13,1
54.941999,82.96301,9654,1,33.58,1
55.0144633,83.0020738,9654,1,32.47,1
